Column1,Column2
hurt,vt.使受伤；使痛心
husband,n.丈夫
hut,n.小屋，棚屋
hydrogen,n.氢
I,pron.(主格)我
ice,n.冰，冰块
ice-cream,n.冰淇淋
idea,n.想法；思想；意见
ideal,a.理想的；观念的
identical,a.完全相同的；同一的
identify,vt.认出，识别，鉴定
idiom,n.习语，成语
idle,a.空闲的；懒散的
i.e.,(=that
if,conj.假如，如果
ignorant,a.不知道的；无知的
ignore,vt.不顾，不理，忽视
ill,a.有病的；坏的
illegal,a.不合法的，非法的
illness,n.病，疾病
illustrate,vt.(用图等)说明
illustration,n.说明，图解；例证
image,n.像；形象；映象
imaginary,a.想象中的，假想的
imagination,n.想象；想象力；空想
imagine,vt.想象，设想；料想
imitate,vt.模仿，仿效；仿制
immediate,a.立即的；直接的
immediately,ad.立即；直接地
immense,a.巨大的；极好的
immigrant,n.移民
impact,n.影响，作用；冲击
impatient,a.不耐烦的，急躁的
implication,n.含义，暗示，暗指
imply,vt.暗示，意指
import,vt.&n.输入，进口
importance,n.重要；重要性
important,a.重要的；有势力的
impose,vt.把…强加；征(税)
impossible,a.不可能的，办不到的
impress,vt.给…深刻印象
impression,n.印；印象；印记
impressive,a.给人印象深刻的
imprison,vt.关押，监禁；限制
improve,vt.使更好
improvement,n.改进，改善；改进处
in,prep.在…里ad.进，入
inch,n.英寸
incident,n.发生的事；事件
incline,n.斜坡
include,vt.包括，包含
income,n.收入；收益；进款
incorrect,a.不正确的，错误的
increase,vt.&vi.&n.增加
increasingly,ad.日益，越来越多地
indeed,ad.真正地；确实
indefinite,a.不明确的；不定的
independence,n.独立，自主，自立
independent,a.独立的；自主的
index,n.索引；指数；指标
India,n.印度
Indian,a.印度的
indicate,vt.标示，表示；表明
indication,n.指示；表示；表明
indifferent,a.冷漠的；不积极的
indignant,a.愤慨的，义愤的
indirect,a.间接的；不坦率的
indispensable,a.必不可少的，必需的
individual,a.个别的；独特的
indoors,ad.在室内，在屋里
industrial,a.工业的；产业的
industrialize,vt.使工业化
industry,n.工业，产业；勤劳
inefficient,a.效率低的，无能的
inevitable,a.不可避免的，必然的
inexpensive,a.花费不多的，廉价的
infant,n.婴儿
infect,vt.传染；感染
infer,vt.推论，推断；猜想
inferior,a.下等的；劣等的
infinite,a.无限的；无数的
influence,n.影响；势力
influential,a.有影响的；有权势的
inform,vt.通知，向…报告
information,n.消息，信息；通知
inhabit,vt.居住于，栖息于
inhabitant,n.居民，住户
inherit,vt.继承(传统等)
initial,a.最初的；词首的
injection,n.注射，注入；充满
injure,vt.伤害，损害，损伤
injury,n.损害，伤害；受伤处
ink,n.墨水，油墨
inn,n.小旅店；小酒店
inner,a.内部的；内心的
innocent,a.清白的，幼稚的
input,n.输入；投入的资金
inquire,vt.打听，询问；调查
inquiry,n.询问，打听；调查
insect,n.昆虫，虫
insert,vt.插入;
inside,prep.在…里面
insist,vi.坚持；坚持要求
inspect,vt.检查，审查；检阅
inspection,n.检查，审查；检阅
inspire,vt.鼓舞；给…以灵感
install,vt.安装，设置
installation,n.安装；装置；设施
instance,n.例子，实例，事例
instant,n.瞬间
instantly,ad.立即，即刻
instead,ad.代替，顶替；反而
instinct,n.本能；直觉；生性
institute,n.研究所；学院
institution,n.协会；制度，习俗
instruct,vt.教；指示；通知
instruction,n.命令；教学；教训
instrument,n.仪器；工具；乐器
insufficient,a.不足的；不适当的
insult,vt.&n.侮辱，凌辱
insurance,n.保险；保险费
insure,vt.给…保险；确保
intellectual,n.知识分子
intelligence,n.智力；理解力；情报
intelligent,a.聪明的；理智的
intend,vt.想要，打算；意指
intense,a.强烈的；紧张的
intensity,n.强烈，剧烈；强度
intensive,a.加强的；精耕细作的
intention,n.意图，意向，目的
intentional,a.故意的，有意识的
interaction,n.相互作用；干扰
interest,n.兴趣；利益；利息
interesting,a.有趣的，引人入胜的
interfere,vi.干涉，干预；妨碍
interference,n.干涉，干预；阻碍
interior,a.内的；内地的n.内部
intermediate,a.中间的；中级的
internal,a.内的；国内的
international,a.国际的，世界(性)的
interpret,vt.解释，说明；口译
interpretation,n.解释；口译
interpreter,n.译员，口译者
interrupt,vt.打断，打扰；中止
interruption,n.中断，打断；障碍物
interval,n.间隔；休息；间距
interview,n.接见；会见；面谈
intimate,a.亲密的；个人的
into,prep.进，入；进入到
introduce,vt.介绍；引进，传入
introduction,n.介绍；引进；引言
invade,vt.入侵，侵略；侵袭
invasion,n.入侵，侵略；侵犯
invent,vt.发明，创造；捏造
invention,n.发明，创造；捏造
inventor,n.发明者；发明家
invest,vt.投资；投入
investigate,vt.&vi.调查
investigation,n.调查，调查研究
investment,n.投资，投资额，投入
invisible,a.看不见的，无形的
invitation,n.邀请，招待；请柬
invite,vt.邀请，聘请；招待
involve,vt.使卷入；牵涉
inward,a.里面的
iron,n.铁；烙铁
irregular,a.不规则的；不整齐的
island,n.岛，岛屿
isolate,vt.使隔离，使孤立
issue,n.问题；发行
it,pron.这，那，它
Italian,a.意大利的n.意大利人
item,n.条，条款；一条
its,pron.它的
itself,pron.它自己；自身
jacket,n.短上衣，茄克衫
jail,n.监狱
jam,n.果酱
jam,vt.使塞满；使堵塞
January,n.一月
Japan,n.日本，日本国
Japanese,a.日本的
jar,n.罐子，坛子，广口瓶
jaw,n.颌，颚
jazz,n.爵士音乐，爵士舞曲
jealous,a.妒忌的；猜疑的
jet,n.喷气式飞机；喷嘴
jewel,n.宝石；宝石饰物
jewish,a.犹太人的
job,n.职业；工作；零活
join,vt.参加；连接
joint,n.接头，接缝；关节
joke,n.笑话
jolly,a.快活的；令人高兴的
journal,n.日报，杂志；日志
journalist,n.记者，新闻工作者
journey,n.旅行，旅程
joy,n.欢乐，喜悦；乐事
joyful,a.十分喜悦的，快乐的
judge,n.法官；裁判员
judgement,n.意见；审判；判断
juice,n.(水果等)汁，液
July,n.七月
jump,vi.跳；暴涨
June,n.六月
jungle,n.丛林，密林，莽丛
junior,a.年少的
jury,n.陪审团；评奖团
just,ad.刚才；只是；正好
justice,n.正义，公正；司法
justify,vt.证明…是正当的
keen,a.热心的；激烈的
keep,vi.保持；坚持
keeper,n.看护人；饲养员
kettle,n.水壶，水锅
key,n.钥匙；键；答案
keyboard,n.键盘
kick,vi.&vt.&n.踢
kid,n.小孩，儿童，少年
kill,vi.杀死；扼杀；消磨
kilogram,n.千克，公斤
kilometer,n.千米，公里
kind,n.种类
kind,a.友好的；和蔼的
kindness,n.仁慈，好意
king,n.国王，君主
kingdom,n.王国；领域，界
kiss,vt.吻
kitchen,n.厨房，灶间
kite,n.风筝
knee,n.膝，膝盖，膝关节
kneel,vi.跪，跪下，跪着
knife,n.小刀，刀，餐刀
knit,vt.把…编结
knob,n.门把，拉手；旋纽
knock,vi.&vt.&n.敲，击，打
knot,n.(绳的)结，(树的)节
know,vt.知道；认识；通晓
knowledge,n.知识，学识；知道
lab,n.实验室，研究室
label,n.标签；标记，符号
laboratory,n.实验室，研究室
labour,n.劳动；工作；劳工
lace,n.鞋带，系带；花边
lack,vi.&vi.&n.缺乏，不足
ladder,n.梯子，梯状物
lady,n.女士，夫人；贵妇人
lag,vi.走得慢
lake,n.湖
lamb,n.羔羊，小羊；羔羊肉
lame,a.跛的；瘸的，残废的
lamp,n.灯
land,n.陆地；土地
landing,n.上岸，登陆，着陆
landlady,n.女房东；女地主
landlord,n.地主；房东，店主
lane,n.(乡间)小路；跑道
language,n.语言，语言课程
lantern,n.提灯，灯笼
lap,n.膝部；一圈
large,a.大的；巨大的
largely,ad.大部分；大量地
laser,n.激光
last,a.最后的
last,vi.持续，持久；耐久
late,a.迟的
lately,ad.最近，不久前
later,ad.后来；过一会儿
Latin,a.拉丁的
latter,a.(两者中)后者的
laugh,vi.笑，发笑
laughter,n.笑，笑声
launch,vt.发射，投射；发动
laundry,n.洗衣房，洗衣店
lavatory,n.盥洗室，厕所
law,n.法律，法令；法则
lawn,n.草地，草坪，草场
lawyer,n.律师；法学家
lay,vt.置放；铺设；设置
layer,n.层，层次；铺设者
layout,n.布局，安排，设计
lazy,a.懒惰的，懒散的
lead,vt.为…带路；领导
lead,n.铅，铅制品
leader,n.领袖，领导人；首领
leadership,n.领导
leading,a.指导的；最主要的
leaf,n.叶，叶子
league,n.同盟，联盟；联合会
leak,vi.漏；泄露
lean,vi.倾斜，屈身；*
leap,vi.跳，跃
learn,vi.&vt.学，学习
learned,a.有学问的；学术上的
learning,n.学习；学问，知识
least,a.最少的
leather,n.皮革；皮革制品
leave,vi.离去
lecture,n.&vi.演讲，讲课
left,a.左边的
leg,n.腿，腿部
legal,a.法律的；合法的
legend,n.传说，传奇
leisure,n.空闲时间；悠闲
lemon,n.柠檬，柠檬树
lend,vt.把…借给，贷(款)
length,n.长，长度；一段
lens,n.透镜，镜片；镜头
less,a.更少的
lessen,vt.减少，减轻；缩小
lesson,n.功课，课；课程
lest,conj.惟恐，以免
let,vt.允许，让；使
letter,n.信；证书；字母
level,n.水平面
lever,n.杆，杠杆；控制杆
liable,a.易于…的；可能的
liar,n.说谎的人
liberal,a.心胸宽大的；慷慨的
liberate,vt.解放；释放
liberation,n.解放
liberty,n.自由；释放；许可
librarian,n.图书馆馆长
library,n.图书馆；藏书
license,n.许可；执照
lick,vt.舔；舔吃
lid,n.盖子，盖，囊盖
lie,vi.躺，平放；位于
lie,vi.说谎，欺骗
lieutenant,n.陆军中尉；副职官员
life,n.生命；一生；寿命
lifetime,n.一生，终身
lift,vt.提起，提高
light,n.光，光线；灯，光源
light,a.轻的，少量的
lighten,vt.照亮，使明亮
lightly,ad.轻轻地，轻松地
lightning,n.闪电，闪电放电
like,vt.喜欢；喜爱；希望
like,prep.像，如；像要
likely,a.可能的
likewise,ad.同样地；也，又
limb,n.肢，臂，翼；树枝
lime,n.石灰
limit,n.限度；限制；范围
limitation,n.限制；限度，局限
limited,a.有限的
line,n.线；排；路线；线条
linen,n.亚麻布；亚麻织物
liner,n.班船，班机
link,vt.有环连接
lion,n.狮子；勇猛的人
lip,n.嘴唇
liquid,n.液体
liquor,n.酒；溶液，液剂
list,n.表，目录
listen,vi.听，留神听；听从
listener,n.听者，听众之一
liter,n.升(容量单位)
literary,a.文学(上)的
literature,n.文学；文献
little,a.小的；少；幼小的
live,vi.居住；活
lively,a.活泼的；逼真的
liver,n.肝；肝脏
living,a.活的
living-room,n.起居室
load,vt.装；装满
loaf,n.一条面包，一个面包
loan,n.贷款；暂借
local,a.地方的；局部的
locate,vt.探明，找出，查出
location,n.位置，场所
lock,n.锁
locomotive,n.火车头，机车
lodge,vi.暂住，借宿，投宿
log,n.原木，木料
logic,n.逻辑，推理；逻辑性
logical,a.逻辑的；符合逻辑的
lonely,a.孤独的；荒凉的
long,a.长的；远的
long,vi.渴望，极想念
look,vi.看，显得
loop,n.圈，环，环孔
loose,a.松的；宽松的
loosen,vt.解开；使松驰
lord,n.贵族；上帝，基督
lorry,n.运货汽车，卡车
lose,vt.失去；迷失；输掉
loss,n.遗失；损失；失败
lot,n.许多，大量；签，阄
loud,a.响亮的；吵闹的
loudspeaker,n.扬声器，喇叭
love,vt.爱，喜欢
lovely,a.可爱的；令人愉快的
lover,n.爱好者；情人；情侣
low,a.低的，矮的；低下的
lower,a.较低的
loyal,a.忠诚的，忠心的
loyalty,n.忠诚，忠心
luck,n.运气；好运，幸运
lucky,a.幸运的；吉祥的
luggage,n.行李；皮箱，皮包
lumber,n.木材；木料；制材
lump,n.团，块；肿块
lunch,n.午餐，(美)便餐
lung,n.肺脏，肺
luxury,n.奢侈，奢华；奢侈品
machine,n.机器；机械
mad,a.发疯的；恼火的
madam,n.夫人，女士，太太
magazine,n.杂志，期刊
magic,n.魔法，巫术；戏法
magnet,n.磁铁，磁石，磁体
magnetic,a.磁的，有吸引力的
magnificent,n.壮丽的；华丽的
maid,n.女佣，女仆；少女
mail,n.邮件
main,a.主要的，最重要的
mainly,ad.主要地，大体上
mainland,n.大陆
maintain,vt.维持；赡养；维修
maintenance,n.维持，保持；维修
major,a.较大的
majority,n.多数，大多数
make,vt.使；做，制造
male,a.男的，雄的
man,n.男人；人；人类
manage,vt.管理；设法；对付
management,n.管理；经营，处理
manager,n.经理，管理人
mankind,n.人类
manly,a.男子气概的，果断的
manner,n.方式；态度；礼貌
manual,a.体力的
manufacture,vt.制造
manufacturer,n.制造商；制造厂
many,a.许多的
map,n.地图；图；天体图
marble,n.大理石
March,n.三月
march,vi.行军；游行示威
margin,n.页边的空白；边缘
marine,a.海的；海上的
mark,n.斑点；记号
market,n.市场；集市；销路
marriage,n.结婚，婚姻；婚礼
married,a.已婚的；婚姻的
marry,vt.娶，嫁
marvelous,a.奇迹般的；了不起的
Marxisim,n.马克思主义
Marxist,a.马克思主义的
mask,n.面具；伪装
mass,n.众多；团；群众
master,n.主人；能手；硕士
masterpiece,n.杰作，名著
mat,n.席子；草席；垫子
match,n.比赛，竞赛；对手
match,n.(一根)火柴
mate,n.伙伴，同事；配偶
material,n.材料；素材a.物质的
materialism,n.唯物主义
mathematical,a.数学的，数学上的
mathematics,n.数学
maths,n.(英)数学
matter,n.事情；物质
mature,a.成熟的
maximum,n.最大量
May,n.五月
may,v.aux.可能；可以，祝
maybe,ad.大概，或许；也许
mayor,n.市长
me,pron.(宾格)我
meadow,n.草地，牧草地
meal,n.膳食，一餐
mean,vt.作…解释；意指
mean,a.自私的；吝啬的
mean,a.平均的
meaning,n.意义，意思；意图
means,n.方法，手段，工具
meantime,n.其时，其间
meanwhile,ad.同时，当时
measurable,a.可测量的
measure,vt.量，测量
measurement,n.衡量，测量；尺寸
meat,n.肉
mechanic,n.技工，机械，机修工
mechanical,a.机械的；力学的
mechanically,ad.机械地
mechanics,n.力学；技术性细节
medal,n.奖章，勋章，纪念章
medical,a.医学的；内科的
medicine,n.内服药；医学
Mediterranean,n.地中海
medium,n.媒质；中间a.中等的
meet,vt.遇见
meeting,n.聚集，会合，会见
melon,n.瓜，甜瓜
melt,vi.融化
member,n.成员，会员
memorial,a.纪念的；记忆的
memory,n.记忆；回忆；存储
mend,vt.修理，修补，缝补
mental,a.智力的；精神的
mention,vt.&n.提及，说起
menu,n.菜单；饭菜，菜肴
merchant,n.商人；零售商
mercury,n.水银，汞
Mercury,n.水星
mercy,n.仁慈，慈悲，恩惠
mere,a.仅仅的；纯粹的
merely,ad.仅仅，只不过
merit,n.长处，优点；功过
merry,a.欢乐的，愉快的
mess,n.混乱，混杂，肮脏
message,n.信息，消息；启示
messenger,n.送信者，信使
metal,n.金属，金属制品
meter,n.计量器，计，表
method,n.方法，办法；教学法
metre,n.米，公尺
metric,a.公制的，米制的
microcomputer,n.微型计算机，微机
microphone,n.话筒，麦克风
microscope,n.显微镜
midday,n.正午，中午
middle,n.中部
midnight,n.午夜，子夜，夜半
midst,n.中部，中间，当中
might,v.aux.可能，会，也许
might,n.力量，威力，能力
mild,a.和缓的；温柔的
mile,n.英里
military,a.军事的；军人的
milk,n.乳，牛奶
mill,n.磨坊；制造厂
millimetre,n.毫米
million,num.百万
mind,n.头脑；理智；记忆
mine,pron.我的
mine,n.矿，矿山；地雷
miner,n.矿工
mineral,n.矿物
minimum,n.最小量
minister,n.部长，大臣；公使
ministry,n.(政府的)部
minor,a.较小的；较次要的
minority,n.少数；少数民族
minus,a.负的
minute,n.分，分钟；一会儿
minute,a.微细的；详细的
miracle,n.奇迹，令人惊奇的人
mirror,n.镜子
miserable,a.痛苦的，悲惨的
mislead,vt.使误入岐途
miss,n.小姐
miss,vt.未看到；惦念
missile,n.发射物；导弹
missing,a.缺掉的，失去的
mission,n.使命，任务；使团
mist,n.薄雾
mistake,n.错误
Mister,n.先生
mistress,n.女主人；夫人
misunderstand,vt.误解，误会，曲解
mix,vt.使混合，混淆
mixture,n.混合；混合物
moan,n.呻吟声
mobile,a.运动的；流动的
mode,n.方式，样式
model,n.模型；模式；模特儿
moderate,a.温和的；有节制的
modern,a.现代的，近代的
modest,a.有节制的；谦虚的
modify,vt.更改，修改；修饰
moist,a.湿润的；多雨的
moisture,n.潮湿，湿气；温度
molecule,n.分子，克分子
moment,n.片刻，瞬间，时刻
Monday,n.星期一
money,n.货币；金钱，财富
monitor,n.班长；监视器
monkey,n.猴子，猿
month,n.月，月份
monthly,a.每月的
monument,n.纪念碑；纪念馆
mood,n.心情，情绪；语气
moon,n.月球，月亮；卫星
moral,a.道德的；合乎道德的
more,a.更多的
moreover,ad.再者，加之，此外
morning,n.早晨，上午
mortal,a.终有一死的；致死的
mosquito,n.蚊子
most,a.最多的
mostly,ad.主要的，大部分
mother,n.母亲，妈妈
motion,n.运动；手势；提议
motivate,vt.促动；激励，激发
motive,n.动机，目的
motor,n.发动机；机动车
mould,n.模子，模型
mount,vt.登上，爬上
mountain,n.山，山岳；山脉
mourn,vi.哀痛，哀悼
mouse,n.鼠，耗子
mouth,n.嘴，口，口腔
mouthful,n.满口，一口，少量
move,vt.移动；感动
movement,n.动作，活动；移动
movie,n.电影；电影院
much,ad.非常，很
mud,n.软泥，泥浆
muddy,a.多泥的，泥泞的
mug,n.大杯
multiple,a.复合的；并联的
multiply,vt.使增加；乘
murder,n.&vi.谋杀，凶杀
murderer,n.杀人犯，凶手
muscle,n.肌肉，肌；体力
museum,n.博物馆；展览馆
mushroom,n.蘑菇，菌类植物
music,n.音乐，乐曲，乐谱
musical,a.音乐的；和谐的
musician,n.音乐家；作曲家
must,v.aux.必须；必然要
mute,a.缄默的
mutter,vi.轻声低语；抱怨
mutton,n.羊肉
mutual,a.相互的；共同的
my,pron.我的
myself,pron.我自己；我亲自
mysterious,a.神秘的；难以理解的
mystery,n.神秘；神秘的事物
nail,n.钉；指甲
naked,a.裸体的；无遮敝的
name,n.名字；名誉
namely,ad.即，也就是
nap,n.小睡，打盹，瞌睡
narrow,a.狭的，狭窄的
nasty,a.龌龊的；淫猥的
nation,n.民族；国家
national,a.民族的；国家的
nationality,n.国籍；民族，族
native,a.本土的
natural,a.自然界的；天然的
naturally,ad.自然地；天然地
nature,n.大自然；本性；性质
naughty,a.顽皮的，淘气的
naval,n.海军的，军舰的
navigation,n.航行；航海术；导航
navy,n.海军
near,ad.近，接近
nearby,a.附近的
nearly,ad.差不多；密切地
neat,a.整洁的；熟练的
necessarily,ad.必然，必定
necessary,a.必要的；必然的
necessity,n.必要性；必然性
neck,n.颈，脖子
necklace,n.项链，项圈
need,vt.需要
needle,n.针，缝补，编织针
needless,a.不需要的
negative,a.否定的；消极的
neglect,vt.忽视，忽略；疏忽
Negro,n.黑人
neighbour,n.邻居，邻国，邻人
neighbourhood,n.邻居关系；邻近
neither,a.(两者)都不的
nephew,n.侄子，外甥
nerve,n.神经；勇敢，胆量
nervous,a.神经的；易激动的
nest,n.巢，窝，穴
net,n.网，网状物；通信网
network,n.网状物；网络
neutral,a.中立的；中性的
never,ad.永不，决不；不
nevertheless,conj.然而
new,a.新的；新近出现的
newly,ad.新近，最近
news,n.新闻，消息
newspaper,n.报纸，报
next,a.紧接的；贴近的
nice,a.美好的，令人愉快的
niece,n.侄女，外甥女
night,n.夜，夜间
nine,num.九，九个
nineteen,num.十九，十九个
ninety,num.九十，九十个
ninth,num.第九；九分之一
nitrogen,n.氮
no,ad.不；并不
noble,a.贵族的；高尚的
nobody,pron.谁也不；无人
nod,vt.点(头)；点头表示
noise,n.喧闹声；响声；噪声
noisy,a.嘈杂的；喧闹的
none,pron.没有人
nonsense,n.胡说，废话
noon,n.正午，中午
nor,conj.也不；不
normal,a.正常的，普通的
normally,ad.通常，正常地
north,n.北，北方
northeast,n.东北
northern,a.北方的，北部的
northwest,n.西北
nose,n.鼻子；突出部分
not,ad.不，没有
note,n.笔记；便条；注释
notebook,n.笔记本，期票簿
nothing,n.没有东西
notice,vt.注意
noticeable,a.显而易见的；重要的
noun,n.名词
novel,n.小说
November,n.十一月
now,ad.现在；立刻；于是
nowadays,ad.现今，现在
nowhere,ad.任何地方都不
nuclear,a.原子核的；核心的
nucleus,n.核，核心；(原子)核
nuisance,n.讨厌的东西
number,n.数，数字；号码
numerous,a.为数众多的；许多
nurse,n.保姆；护士
nursery,n.托儿所；苗圃
nut,n.坚果，干果；螺母
nylon,n.尼龙，耐纶
